Муниципалитет,Пригород (30-40 мин),Арктическая зона,Выручка на чел.,Прибыль на чел.,Инвестиции на чел.,Фед. ритейл,Доступность д/с,Доступность ПМП,Спорт. объекты
пгт Уренгой (Ямало-Ненецкий автономный округ),False,True,3043.81625320787,150.53857998289135,310.561520706226,1,90.58333333,1.0,1.026518392
село Пригородный (Республика Саха (Якутия)),True,False,138587.7141521197,9526.412094763093,4.40751242948705,1,7.6,0.5,0.623441397
рабочий поселок Искателей (Ненецкий автономный округ),True,True,4752.744426094137,-856.6511147811726,145.687299201208,0,89.76666667,1.0,0.137627305
пгт Харп (Ямало-Ненецкий автономный округ),True,True,317.34963227986486,-47.573047107930826,2.64167917398991,1,100.0,1.0,1.192605844
село Карпогоры (Архангельская область),False,True,321.9524089306698,31.7617508813161,5.00320570852814,1,91.6,1.0,2.643948296
пгт Сафоново (Мурманская область),True,True,13320.741463414633,1439.5361207897793,,1,71.05,0.5,0.929152149
рп Кулой (Архангельская область),False,False,79.09883478984602,4.023512276321265,1.29805549220779,1,97.81666667,0.5,1.456512692
поселок Уемский (Архангельская область),True,True,17848.82088846881,1238.0614366729678,3.88437520195776,1,99.0,1.0,0.472589792
село Красноселькуп (Ямало-Ненецкий автономный округ),False,True,14746.33092175777,190.06591639871382,207.138739936554,0,80.33333333,1.0,0.535905681
пгт Водный (Республика Коми),True,False,95.77228992944195,6.979260209536028,13.5229207831537,1,3.550767658,1.0,1.924310455
село Туруханск (Красноярский край),False,True,910.9162995594713,37.82599118942731,245.650032161365,0,73.3,1.0,1.6
пгт Березово (Ханты-Мансийский автономный округ - Югра),False,True,148.97956637030106,16.05459366713461,1.24211284413603,1,92.85,1.0,1.091873343
пгт Ярега (Республика Коми),True,False,26.828804347826086,4.355338874680307,13.5229207831537,1,5.827396089,1.0,1.75831202
село Богучаны (Красноярский край),False,False,229.26241958541814,17.62205146533238,5.24561698977512,1,65.4,1.0,1.0
пгт Белый Яр (Ханты-Мансийский автономный округ - Югра),True,False,36289.6047332879,18616.398488321665,100.896322027211,1,86.0,1.0,0.805402391
пгт Подтесово (Красноярский край),True,False,93.49672846237732,5.450109051254089,0.441907617359354,1,81.0,1.0,0.8
село Выльгорт (Республика Коми),True,False,13202.341631957592,1050.8029155622871,1.74985952892904,1,43.86161361,1.0,1.325255585
пгт Федоровский (Ханты-Мансийский автономный округ - Югра),False,False,124.4469382569662,5.316634200050817,100.896322027211,1,95.0,1.0,0.762259676
посёлок Солнечный (Ханты-Мансийский автономный округ - Югра),True,False,10091.537524253008,16657.210632518432,100.896322027211,1,82.83333333,1.0,0.698486612
пгт Северный (Республика Коми),True,True,199.59781420765026,13.330327868852459,5.67575287262261,1,3.809436673,1.0,1.4
посёлок Нижнесортымский (Ханты-Мансийский автономный округ - Югра),False,False,18.731377927832877,-2.3824998241541815,100.896322027211,1,86.16666667,1.0,0.562706619
пгт Пиндуши (Республика Карелия),True,False,1451.0864480040682,99.69641495041952,0.398735027088641,1,94.53333333,1.0,0.762776506
пгт Лоухи (Республика Карелия),False,True,253.79320571582636,3.942032892963063,0.907666555619759,1,69.64833333,1.0,3.504987867
пгт Воргашор (Республика Коми),True,True,63.11689302609492,24.734777964291165,5.67575287262261,1,3.800252077,1.0,0.3
посёлок Унъюган (Ханты-Мансийский автономный округ - Югра),True,False,39.125958378970424,-4.153705732018985,24.0358390011667,1,65.00333333,1.0,1.095290252
село Верхнепашино (Красноярский край),True,False,2103.3752613240417,115.55714285714286,0.441907617359354,0,72.5,1.0,1.4
посёлок Катунино (Архангельская область),True,True,6414.798147108366,318.8065693430657,3.88437520195776,1,98.16666667,0.5,1.122964627
село Яр-Сале (Ямало-Ненецкий автономный округ),False,True,265.1059379217274,18.031848852901483,466.88614132068,1,27.3,1.0,2.159244265
село Антоновка (Республика Саха (Якутия)),True,False,402.5680206318504,30.224049000644744,4.4839917017699,0,100.0,1.0,0.322372663
село Лешуконское (Архангельская область),False,True,190.5974647887324,19.250985915492958,0.0513832535223073,0,56.33166667,1.0,1.690140845
пгт Барсово (Ханты-Мансийский автономный округ - Югра),True,False,9427.912144702843,28206.835917312663,100.896322027211,1,89.5,1.0,1.453488372
пгт Калевала (Республика Карелия),False,True,470.34770277935337,-17.16364152013613,0.224917995295922,1,60.18333333,1.0,5.672149745
рп Малошуйка (Архангельская область),False,True,15.153076538269135,0.7938969484742371,1.07711405521078,0,53.035,1.0,0.500250125
пгт Междуреченский (Ханты-Мансийский автономный округ - Югра),False,False,54.39568085298636,8.237101292129756,79.3841666739002,1,69.08333333,1.0,1.174663414
пгт Угольные Копи (Чукотский автономный округ),True,True,29801.335086633662,13361.919554455446,7.43075426240303,0,85.43333333,1.0,0.618811881
рп Октябрьский (Архангельская область),False,False,2263.921418408668,-850.0348035460216,2.82047655240414,1,80.5,1.0,0.7
село Холмогоры (Архангельская область),False,False,162.20624631703006,-11.67059516794343,0.661782603442729,1,18.91666667,1.0,0.9
пгт Усть-Мая (Республика Саха (Якутия)),False,False,78.43858267716536,-0.9133858267716536,5.94437732097929,0,94.23333333,1.0,0.393700787
пгт Нижний Одес (Республика Коми),False,False,114.52721829069135,6.111867174741426,5.14560127178796,1,13.66216515,1.0,1.224823081
посёлок Березник (Архангельская область),False,False,463.82005689900427,6.587837837837838,1.76044818048017,1,100.0,1.0,0.4
село Усть-Цильма (Республика Коми),False,True,87.55853151697067,10.611867928884784,0.724838068728836,1,42.66643039,1.0,2.308935581
